num,masses,lengths
1123.0,4.117397,1.655887
1124.0,3.09547,1.167251
1125.0,2.617583,0.991057
1126.0,2.542871,0.991057
1127.0,3.773875,1.54265
1131.0,2.600705,0.991057
1132.0,4.276068,1.838409
1133.0,3.728179,1.516615
1137.0,3.279959,1.072841
1138.0,3.419084,1.362856
1140.0,2.549343,0.991057
1141.0,4.372288,1.798263
1142.0,3.821579,1.621321
1143.0,3.607833,1.516615
1145.0,2.975831,1.292164
1146.0,3.379187,1.334971
1147.0,4.448104,1.817668
1148.0,4.032957,1.599709
1149.0,3.940204,1.641909
1151.0,4.83264,2.019772
1152.0,3.646675,1.373871
1153.0,6.364054,2.800724
1154.0,5.683058,2.451635
1155.0,4.026322,1.593194
1156.0,3.83283,1.532043
1157.0,4.128088,1.802361
1161.0,4.104769,1.655887
1162.0,6.541933,2.70307
1164.0,2.562818,0.991057
1166.0,4.354903,1.838409
1167.0,7.364913,3.370969
1168.0,4.462363,1.806397
1169.0,7.090183,3.272934
1170.0,4.041999,1.641909
1171.0,2.850412,0.991057
1172.0,3.107674,1.12255
1173.0,4.015806,1.71772
1174.0,4.193923,1.71772
1176.0,4.07209,1.593194
1179.0,5.432148,2.263952
1181.0,4.528918,1.830858
1182.0,3.901122,1.497233
1186.0,4.688285,2.130319
1189.0,2.846375,0.991057
1190.0,6.077549,2.766204
1192.0,2.56759,0.991057
1196.0,3.290165,1.346707
1197.0,4.858783,2.309472
1198.0,2.86447,0.991057
1199.0,3.698486,1.305097
1200.0,2.844909,0.991057
1201.0,3.330851,1.292164
1202.0,4.170769,1.745621
1204.0,3.700927,1.52442
1205.0,3.927627,1.54265
1207.0,3.952987,1.635966
1209.0,3.288875,1.305097
1210.0,5.948635,2.662949
1211.0,6.48145,2.870762
1212.0,4.235149,1.752138
1213.0,7.29157,3.459153
1217.0,3.79523,1.516615
1218.0,3.804259,1.46823
1220.0,4.110645,1.635966
1222.0,3.9917,1.46823
1223.0,3.385672,1.433229
1224.0,2.95493,1.12255
1225.0,3.23347,1.259158
1227.0,2.56342,0.991057
1230.0,4.398741,2.253304
1231.0,4.329917,1.763022
1232.0,2.879032,0.991057
1234.0,4.674364,1.919264
1235.0,4.751431,1.956917
1236.0,2.863838,0.991057
1239.0,2.606127,0.991057
1240.0,4.772836,2.211408
1241.0,6.222405,2.654509
1242.0,5.990436,2.677463
1243.0,2.765498,0.991057
1244.0,4.300539,1.763022
1245.0,4.737493,2.001541
1246.0,4.440875,1.777975
1247.0,3.513946,1.550005
1249.0,3.249162,1.167251
1250.0,3.283449,1.612489
1251.0,4.16633,1.669429
1252.0,4.41017,1.907195
1253.0,2.857923,0.991057
1254.0,3.83602,1.54265
1255.0,4.896759,2.19251
1257.0,7.436542,3.358442
1258.0,3.102816,1.18441
1259.0,2.878051,0.991057
1260.0,3.144048,1.433229
1261.0,3.234515,1.167251
1263.0,3.350352,1.334971
1264.0,3.533911,1.362856
1265.0,3.911386,1.560146
1266.0,2.838793,0.991057
1268.0,4.009819,1.635966
1273.0,4.269271,1.700496
1275.0,6.455753,3.155219
1276.0,3.565103,1.423637
1279.0,6.542192,2.939489
1282.0,2.883367,0.991057
1283.0,3.326939,0.840608
1284.0,4.033311,1.560146
1285.0,3.124359,0.991057
1286.0,3.559536,1.362856
1287.0,5.724501,2.686001
1288.0,4.17954,1.724667
1290.0,4.083652,1.669429
1291.0,3.497892,1.46458
1292.0,5.570137,2.426536
1293.0,5.042239,2.064052
1294.0,3.016988,1.167251
1297.0,2.838844,0.922315
1299.0,3.916063,1.59046
1300.0,3.39434,1.399496
1301.0,3.358542,1.167251
1302.0,5.616283,2.603706
1303.0,3.913911,1.59046
1304.0,5.37995,2.478303
1305.0,2.838788,0.991057
1306.0,3.372426,1.167251
1308.0,4.280911,1.700496
1310.0,2.871966,0.991057
1312.0,3.992504,1.635966
1313.0,4.030692,1.505391
1314.0,4.260248,1.982496
1315.0,5.216231,2.279474
1316.0,4.388305,1.784003
1317.0,3.998723,1.674933
1318.0,7.460414,3.533702
1319.0,5.78242,2.48412
1320.0,3.21992,1.259158
1321.0,2.569709,0.991057
1322.0,2.723481,0.991057
1324.0,5.240528,2.135691
1326.0,3.668641,1.446505
1327.0,2.845416,0.991057
1328.0,6.909187,2.931256
1330.0,2.600123,0.991057
1331.0,4.086541,1.629977
1334.0,2.859044,0.991057
1336.0,4.920009,2.050873
1337.0,3.953844,1.972082
1338.0,4.71042,2.092587
1339.0,3.947906,1.606165
1341.0,4.715981,1.998955
1345.0,3.845274,1.389059
1349.0,5.635412,2.382798
1350.0,5.35911,2.452172
1355.0,3.064739,1.167251
1357.0,3.004463,0.991057
1358.0,3.564423,1.223345
1360.0,5.546574,2.560403
1363.0,3.573077,1.362856
1364.0,2.889636,0.991057
1366.0,2.574246,0.991057
1367.0,4.2799,1.777975
1370.0,3.674044,1.455663
1371.0,4.857619,2.011266
1372.0,2.875276,0.991057
1374.0,3.043896,1.167251
1375.0,4.666439,1.900758
1376.0,4.484848,1.829278
1377.0,4.371452,1.93576
1379.0,4.250438,1.740948
1382.0,3.620074,1.423637
1385.0,4.05407,1.705623
1387.0,2.932596,0.991057
1388.0,3.708837,1.446505
1389.0,5.73478,2.560697
1390.0,3.532736,1.399496
1391.0,2.610123,0.991057
